,Code Postal,Ville,Pièces,Chambres,Superficie,Loyer
476,75003,PARIS,4,3,114,3258
477,75003,PARIS,3,2,58,2300
478,75003,PARIS,2,1,31,1400
479,75003,PARIS,2,1,49,2300
480,75003,PARIS,2,1,35,1530
481,75003,PARIS,3,2,56,2000
482,75003,PARIS,2,1,54,2100
483,75003,PARIS,3,2,"41,38",1900
484,75003,PARIS,1,,30,1380
485,75003,PARIS,1,,37,1250
486,75003,PARIS,3,2,81,3255
487,75003,PARIS,2,1,31,1430
488,75003,PARIS,1,,26,950
489,75003,PARIS,3,2,80,2700
490,75003,PARIS,2,1,40,1950
491,75003,PARIS,1,,25,910
492,75003,PARIS,1,,15,588
493,75003,PARIS,3,2,117,4000
494,75003,PARIS,4,2,117,4400
495,75003,PARIS,1,,"25,31",890
496,75003,PARIS,4,2,"78,77",2300
497,75003,PARIS,3,2,88,4000
498,75003,PARIS,1,,29,1230
499,75003,PARIS,3,2,64,2400
500,75003,PARIS,2,1,"46,42",1900
501,75003,PARIS,3,2,56,2300
502,75003,PARIS,6,3,200,5500
503,75003,PARIS,1,,41,1390
504,75003,PARIS,2,1,35,1390
505,75003,PARIS,1,,47,1333
506,75003,PARIS,2,1,48,1550
507,75003,PARIS,1,,22,1200
508,75003,PARIS,4,3,120,3800
509,75003,PARIS,3,2,70,2810
510,75003,PARIS,1,,"29,13",1100
511,75003,PARIS,1,,26,900
512,75003,PARIS,4,3,114,3258
513,75003,PARIS,4,3,"95,87",4000
514,75003,PARIS,2,1,53,1950
515,75003,PARIS,2,1,53,2100
516,75003,PARIS,2,1,54,1900
517,75003,PARIS,1,,"17,43",685
518,75003,PARIS,3,2,"63,7",2500
519,75003,PARIS,3,2,60,1950
520,75003,PARIS,2,1,"46,5",1560
521,75003,PARIS,3,2,66,2313
522,75003,PARIS,1,,27,1200
523,75003,PARIS,3,2,70,2820
524,75003,PARIS,1,,17,850
525,75003,PARIS,2,1,36,1390
526,75003,PARIS,2,1,50,1700
527,75003,PARIS,1,,24,997
528,75003,PARIS,3,1,70,2380
529,75003,PARIS,3,2,70,2820
530,75003,PARIS,1,,17,850
531,75003,PARIS,2,1,54,1900
532,75003,PARIS,3,2,"63,7",2500
533,75003,PARIS,3,2,83,3200
534,75003,PARIS,2,1,45,1950
535,75003,PARIS,1,,"10,5",600
536,75003,PARIS,2,1,"46,5",1560
537,75003,PARIS,1,,27,1200
538,75003,PARIS,4,2,92,5500
539,75003,PARIS,2,1,53,2400
540,75003,PARIS,2,1,40,2100
541,75003,PARIS,1,,36,1139
542,75003,PARIS,2,1,31,1350
543,75003,PARIS,3,2,115,4400
544,75003,PARIS,1,,17,950
545,75003,PARIS,2,1,"39,42",1560
546,75003,PARIS,3,1,63,2400
547,75003,PARIS,3,2,69,2180
548,75003,PARIS,1,,29,1520
549,75003,PARIS,6,4,"114,29",3195
550,75003,PARIS,1,,29,1230
551,75003,PARIS,3,2,80,3255
552,75003,PARIS,3,2,"50,46",2300
553,75003,PARIS,2,1,"72,36",2400
554,75003,PARIS,4,3,"118,78",3490
555,75003,PARIS,1,,32,1055
556,75003,PARIS,1,,21,1150
557,75003,PARIS,2,1,29,1270
558,75003,PARIS,2,1,"34,04",1450
559,75003,PARIS,1,,15,950
560,75003,PARIS,1,,23,1250
561,75003,PARIS,2,1,"43,36",1700
562,75003,PARIS,1,,22,1200
563,75003,PARIS,2,1,59,1950
564,75003,PARIS,4,3,"83,02",2735
565,75003,PARIS,2,1,50,1870
566,75003,PARIS,2,1,"33,5",1420
567,75003,PARIS,2,1,36,1365
568,75003,PARIS,3,2,59,1935
569,75003,PARIS,1,,"27,11",1196
570,75003,PARIS,3,2,67,2200
571,75003,PARIS,2,1,35,1150
572,75003,PARIS,2,1,35,1400
573,75003,PARIS,1,,24,1100
574,75003,PARIS,3,2,95,3000
575,75003,PARIS,2,1,"43,75",1660
576,75003,PARIS,3,1,70,2800
577,75003,PARIS,2,1,35,1995
578,75003,PARIS,2,1,45,1878
579,75003,PARIS,1,,23,1050
580,75003,PARIS,3,2,85,3000
581,75003,PARIS,2,1,27,1550
582,75003,PARIS,1,,26,1200
583,75003,PARIS,2,1,40,1750
584,75003,PARIS,3,2,117,4400
585,75003,PARIS,1,,"35,7",1400
586,75003,PARIS,2,1,50,2400
587,75003,PARIS,1,,18,1373
588,75003,PARIS,1,,25,1888
589,75003,PARIS,1,,35,1888
590,75003,PARIS,1,,29,2500
591,75003,PARIS,2,4,45,1703
592,75003,PARIS,1,,35,3000
593,75003,PARIS,1,2,40,3391
594,75003,PARIS,1,,35,1500
595,75003,PARIS,1,,19,1200
596,75003,PARIS,2,1,70,3800
597,75003,PARIS,2,1,46,2000
598,75003,PARIS,2,1,41,1800
599,75003,PARIS,1,,15,950
600,75003,PARIS,2,1,45,2500
601,75003,PARIS,1,,37,3229
602,75003,PARIS,1,,30,2000
603,75003,PARIS,2,1,"28,46",1250
604,75003,PARIS,2,1,"43,4",1650
605,75003,PARIS,2,1,"30,5",1800
606,75003,PARIS,3,2,90,3000
607,75003,PARIS,2,1,44,1790
608,75003,PARIS,1,,24,950
609,75003,PARIS,2,1,46,2000
610,75003,PARIS,1,,26,2037
611,75003,PARIS,3,4,100,3855
612,75003,PARIS,1,,25,1373
613,75003,PARIS,2,1,32,1400
614,75003,PARIS,1,,11,650
615,75003,PARIS,1,,27,1050
616,75003,PARIS,1,4,55,2272
617,75003,PARIS,1,,20,1870
618,75003,PARIS,1,,22,1737
619,75003,PARIS,1,,35,2778
620,75003,PARIS,1,3,90,7008
621,75003,PARIS,1,2,50,2850
622,75003,PARIS,1,,28,1736
623,75003,PARIS,2,1,45,2200
624,75003,PARIS,3,2,120,3900
625,75003,PARIS,2,1,67,2250
626,75003,PARIS,4,,2,3193
627,75003,PARIS,1,,18,750
628,75003,PARIS,2,1,"35,56",1380
629,75003,PARIS,1,,27,979
630,75003,PARIS,5,3,180,15500
631,75003,PARIS,3,1,60,2000
632,75003,PARIS,2,1,60,2250
633,75003,PARIS,1,,"41,78",1680
634,75003,PARIS,1,,"29,28",1450
635,75003,PARIS,2,1,41,1595
636,75003,PARIS,1,,22,915
637,75003,PARIS,2,1,40,1700
638,75003,PARIS,4,3,114,3257
639,75003,PARIS,2,1,32,1270
640,75003,PARIS,2,1,"38,28",1539
641,75003,PARIS,1,,29,1350
642,75003,PARIS,1,,27,967
643,75003,PARIS,1,,"47,58",1612
644,75003,PARIS,5,3,120,3800
645,75003,PARIS,2,1,48,1560
646,75003,PARIS,1,,37,1350
647,75003,PARIS,2,1,48,1550
648,75003,PARIS,2,1,"41,79",1540
649,75003,PARIS,2,1,30,1300
650,75003,PARIS,2,1,"30,19",1177
651,75003,PARIS,1,,25,2000
652,75003,PARIS,2,1,"34,59",1650
653,75003,PARIS,1,,29,1710
654,75003,PARIS,2,1,"30,5",1215
655,75003,PARIS,2,1,90,5200
656,75003,PARIS,2,1,50,1989
657,75003,PARIS,3,1,65,2180
658,75003,PARIS,4,3,"84,09",2620
659,75003,PARIS,2,1,55,2500
660,75003,PARIS,2,1,"41,79",1540
661,75003,PARIS,1,,28,1240
662,75003,PARIS,1,,35,1450
663,75003,PARIS,1,,"16,85",739
664,75003,PARIS,4,3,85,2950
665,75003,PARIS,1,,20,870
